race,gender,rel,ses,cond,phq8_total
Black,Cisgender Woman,Partnered,High,baseline,3
Black,Cisgender Woman,Partnered,High,reverse10,3
Black,Cisgender Woman,Partnered,High,rand10,3
Black,Cisgender Woman,Single,Low,baseline,18
Black,Cisgender Woman,Single,Low,clamp10,18
Black,Cisgender Woman,Single,Low,clamp20,18
Black,Cisgender Woman,Single,Low,clamp50,18
Black,Cisgender Woman,Single,Low,clamp50x5,20
Black,Cisgender Woman,Single,Low,rand10,17
Black,Cisgender Woman,Single,High,baseline,9
Black,Cisgender Woman,Single,High,reverse10,6
Black,Cisgender Woman,Single,High,rand10,6
Hispanic,Cisgender Man,Partnered,Low,baseline,13
Hispanic,Cisgender Man,Partnered,Low,clamp10,13
Hispanic,Cisgender Man,Partnered,Low,clamp20,13
Hispanic,Cisgender Man,Partnered,Low,clamp50,13
Hispanic,Cisgender Man,Partnered,Low,clamp50x5,19
Hispanic,Cisgender Man,Partnered,Low,rand10,13
Hispanic,Cisgender Man,Partnered,High,baseline,5
Hispanic,Cisgender Man,Partnered,High,reverse10,5
Hispanic,Cisgender Man,Partnered,High,rand10,5
Hispanic,Cisgender Man,Single,Low,baseline,15
Hispanic,Cisgender Man,Single,Low,clamp10,17
Hispanic,Cisgender Man,Single,Low,clamp20,16
Hispanic,Cisgender Man,Single,Low,clamp50,17
Hispanic,Cisgender Man,Single,Low,clamp50x5,20
Hispanic,Cisgender Man,Single,Low,rand10,15
Hispanic,Cisgender Man,Single,High,baseline,5
Hispanic,Cisgender Man,Single,High,reverse10,5
Hispanic,Cisgender Man,Single,High,rand10,3
Hispanic,Cisgender Woman,Partnered,Low,baseline,13
Hispanic,Cisgender Woman,Partnered,Low,clamp10,14
Hispanic,Cisgender Woman,Partnered,Low,clamp20,13
Hispanic,Cisgender Woman,Partnered,Low,clamp50,13
Hispanic,Cisgender Woman,Partnered,Low,clamp50x5,19
Hispanic,Cisgender Woman,Partnered,Low,rand10,13
Hispanic,Cisgender Woman,Partnered,High,baseline,6
Hispanic,Cisgender Woman,Partnered,High,reverse10,6
Hispanic,Cisgender Woman,Partnered,High,rand10,4
Hispanic,Cisgender Woman,Single,Low,baseline,15
Hispanic,Cisgender Woman,Single,Low,clamp10,15
Hispanic,Cisgender Woman,Single,Low,clamp20,15
Hispanic,Cisgender Woman,Single,Low,clamp50,18
Hispanic,Cisgender Woman,Single,Low,clamp50x5,19
Hispanic,Cisgender Woman,Single,Low,rand10,15
Hispanic,Cisgender Woman,Single,High,baseline,9
Hispanic,Cisgender Woman,Single,High,reverse10,9
Hispanic,Cisgender Woman,Single,High,rand10,9
Asian,Cisgender Man,Partnered,Low,baseline,14
Asian,Cisgender Man,Partnered,Low,clamp10,14
Asian,Cisgender Man,Partnered,Low,clamp20,12
Asian,Cisgender Man,Partnered,Low,clamp50,13
Asian,Cisgender Man,Partnered,Low,clamp50x5,19
Asian,Cisgender Man,Partnered,Low,rand10,14
Asian,Cisgender Man,Partnered,High,baseline,3
Asian,Cisgender Man,Partnered,High,reverse10,3
Asian,Cisgender Man,Partnered,High,rand10,3
Asian,Cisgender Man,Single,Low,baseline,17
Asian,Cisgender Man,Single,Low,clamp10,17
Asian,Cisgender Man,Single,Low,clamp20,17
Asian,Cisgender Man,Single,Low,clamp50,17
Asian,Cisgender Man,Single,Low,clamp50x5,20
Asian,Cisgender Man,Single,Low,rand10,16
Asian,Cisgender Man,Single,High,baseline,3
Asian,Cisgender Man,Single,High,reverse10,3
Asian,Cisgender Man,Single,High,rand10,3
Asian,Cisgender Woman,Partnered,Low,baseline,13
Asian,Cisgender Woman,Partnered,Low,clamp10,13
Asian,Cisgender Woman,Partnered,Low,clamp20,13
Asian,Cisgender Woman,Partnered,Low,clamp50,13
Asian,Cisgender Woman,Partnered,Low,clamp50x5,20
Asian,Cisgender Woman,Partnered,Low,rand10,13
Asian,Cisgender Woman,Partnered,High,baseline,4
Asian,Cisgender Woman,Partnered,High,reverse10,4
Asian,Cisgender Woman,Partnered,High,rand10,4
Asian,Cisgender Woman,Single,Low,baseline,15
Asian,Cisgender Woman,Single,Low,clamp10,15
Asian,Cisgender Woman,Single,Low,clamp20,15
Asian,Cisgender Woman,Single,Low,clamp50,19
Asian,Cisgender Woman,Single,Low,clamp50x5,19
Asian,Cisgender Woman,Single,Low,rand10,15
Asian,Cisgender Woman,Single,High,baseline,6
Asian,Cisgender Woman,Single,High,reverse10,6
Asian,Cisgender Woman,Single,High,rand10,8
Multiracial,Cisgender Man,Partnered,Low,baseline,15
Multiracial,Cisgender Man,Partnered,Low,clamp10,15
Multiracial,Cisgender Man,Partnered,Low,clamp20,19
Multiracial,Cisgender Man,Partnered,Low,clamp50,19
Multiracial,Cisgender Man,Partnered,Low,clamp50x5,19
Multiracial,Cisgender Man,Partnered,Low,rand10,13
Multiracial,Cisgender Man,Partnered,High,baseline,3
Multiracial,Cisgender Man,Partnered,High,reverse10,3
Multiracial,Cisgender Man,Partnered,High,rand10,3
Multiracial,Cisgender Man,Single,Low,baseline,16
Multiracial,Cisgender Man,Single,Low,clamp10,19
Multiracial,Cisgender Man,Single,Low,clamp20,16
Multiracial,Cisgender Man,Single,Low,clamp50,19
Multiracial,Cisgender Man,Single,Low,clamp50x5,19
Multiracial,Cisgender Man,Single,Low,rand10,16
Multiracial,Cisgender Man,Single,High,baseline,5
Multiracial,Cisgender Man,Single,High,reverse10,5
Multiracial,Cisgender Man,Single,High,rand10,5
Multiracial,Cisgender Woman,Partnered,Low,baseline,13
Multiracial,Cisgender Woman,Partnered,Low,clamp10,13
Multiracial,Cisgender Woman,Partnered,Low,clamp20,13
Multiracial,Cisgender Woman,Partnered,Low,clamp50,13
Multiracial,Cisgender Woman,Partnered,Low,clamp50x5,19
Multiracial,Cisgender Woman,Partnered,Low,rand10,13
Multiracial,Cisgender Woman,Partnered,High,baseline,5
Multiracial,Cisgender Woman,Partnered,High,reverse10,3
Multiracial,Cisgender Woman,Partnered,High,rand10,6
Multiracial,Cisgender Woman,Single,Low,baseline,17
Multiracial,Cisgender Woman,Single,Low,clamp10,18
Multiracial,Cisgender Woman,Single,Low,clamp20,18
Multiracial,Cisgender Woman,Single,Low,clamp50,19
Multiracial,Cisgender Woman,Single,Low,clamp50x5,19
Multiracial,Cisgender Woman,Single,Low,rand10,15
Multiracial,Cisgender Woman,Single,High,baseline,5
Multiracial,Cisgender Woman,Single,High,reverse10,6
Multiracial,Cisgender Woman,Single,High,rand10,5
